Deputy_ID,Deputy_Name,Constituency,Parliamentary_Group,URL,Committee_Name,Committee_URL,Role
42,Budãi Marius-Constantin,7 / BOTOȘANI,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=42,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,
42,Budãi Marius-Constantin,7 / BOTOȘANI,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=42,Comisia pentru muncă şi protecţie socială,http://www.cdep.ro/pls/parlam/structura2015.co?idc=7&cam=2&leg=2024&idl=1,Secretar
43,Buican Cristian,40 / VÂLCEA,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=43,"Comisia pentru politică economică, reformă şi privatizare",http://www.cdep.ro/pls/parlam/structura2015.co?idc=1&cam=2&leg=2024&idl=1,
44,Bulai Iulian,29 / NEAMȚ,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=44,Comisia pentru politică externă,http://www.cdep.ro/pls/parlam/structura2015.co?idc=13&cam=2&leg=2024&idl=1,
44,Bulai Iulian,29 / NEAMȚ,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=44,Comisia pentru afaceri europene,http://www.cdep.ro/pls/parlam/structura2015.co?idc=33&cam=2&leg=2024&idl=1,
45,Bulearcã Marius-Felix,31 / PRAHOVA,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=45,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,
46,Burduja Sebastian-Ioan,42 / BUCUREȘTI,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=46,Comisia pentru industrii şi servicii,http://www.cdep.ro/pls/parlam/structura2015.co?idc=3&cam=2&leg=2024&idl=1,
46,Burduja Sebastian-Ioan,42 / BUCUREȘTI,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=46,Comisia pentru știință și tehnologie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=72&cam=2&leg=2024&idl=1,
47,Buturã Cristina-Irina,3 / ARGEȘ,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=47,Comisia pentru sănătate şi familie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=8&cam=2&leg=2024&idl=1,
48,Buzoianu Diana-Anda,42 / BUCUREȘTI,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=48,Comisia pentru mediu şi echilibru ecologic,http://www.cdep.ro/pls/parlam/structura2015.co?idc=46&cam=2&leg=2024&idl=1,Preşedinte
49,Cadar Rãzvan-Olimpiu,2 / ARAD,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=49,"Comisia pentru politică economică, reformă şi privatizare",http://www.cdep.ro/pls/parlam/structura2015.co?idc=1&cam=2&leg=2024&idl=1,
49,Cadar Rãzvan-Olimpiu,2 / ARAD,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=49,Comisia pentru tineret și sport,http://www.cdep.ro/pls/parlam/structura2015.co?idc=78&cam=2&leg=2024&idl=1,Secretar
50,Caragațã Florin,23 / IALOMIȚA,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=50,Comisia pentru transporturi şi infrastructură,http://www.cdep.ro/pls/parlam/structura2015.co?idc=34&cam=2&leg=2024&idl=1,
51,Câciu Adrian,17 / DOLJ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=51,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,
51,Câciu Adrian,17 / DOLJ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=51,Comisia pentru antreprenoriat şi turism,http://www.cdep.ro/pls/parlam/structura2015.co?idc=240&cam=2&leg=2024&idl=1,
52,Cernit Maria,14 / CONSTANȚA,POT,https://cdep.ro/pls/parlam/structura2015.mp?idm=52,Comisia pentru egalitatea de şanse pentru femei şi bărbaţi,http://www.cdep.ro/pls/parlam/structura2015.co?idc=20&cam=2&leg=2024&idl=1,Preşedinte
53,Chilat Crina-Fiorela,26 / MARAMUREȘ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=53,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,
53,Chilat Crina-Fiorela,26 / MARAMUREȘ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=53,Comisia pentru muncă şi protecţie socială,http://www.cdep.ro/pls/parlam/structura2015.co?idc=7&cam=2&leg=2024&idl=1,
53,Chilat Crina-Fiorela,26 / MARAMUREȘ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=53,Comisia pentru antreprenoriat şi turism,http://www.cdep.ro/pls/parlam/structura2015.co?idc=240&cam=2&leg=2024&idl=1,Secretar
54,Chirilã Virgil Alin,27 / MEHEDINȚI,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=54,"Comisia pentru buget, finanţe şi bănci",http://www.cdep.ro/pls/parlam/structura2015.co?idc=2&cam=2&leg=2024&idl=1,
54,Chirilã Virgil Alin,27 / MEHEDINȚI,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=54,Comisia pentru administraţie publică şi amenajarea teritoriului,http://www.cdep.ro/pls/parlam/structura2015.co?idc=6&cam=2&leg=2024&idl=1,Vicepreşedinte
54,Chirilã Virgil Alin,27 / MEHEDINȚI,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=54,Comisia pentru transporturi şi infrastructură,http://www.cdep.ro/pls/parlam/structura2015.co?idc=34&cam=2&leg=2024&idl=1,
55,Chirițã Rãzvan-Mirel,42 / BUCUREȘTI,POT,https://cdep.ro/pls/parlam/structura2015.mp?idm=55,"Comisia pentru politică economică, reformă şi privatizare",http://www.cdep.ro/pls/parlam/structura2015.co?idc=1&cam=2&leg=2024&idl=1,
55,Chirițã Rãzvan-Mirel,42 / BUCUREȘTI,POT,https://cdep.ro/pls/parlam/structura2015.mp?idm=55,Comisia pentru administraţie publică şi amenajarea teritoriului,http://www.cdep.ro/pls/parlam/structura2015.co?idc=6&cam=2&leg=2024&idl=1,
56,Ciobanu Adrian-Virgil,29 / NEAMȚ,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=56,"Comisia pentru cercetarea abuzurilor, corupţiei şi pentru petiţii",http://www.cdep.ro/pls/parlam/structura2015.co?idc=14&cam=2&leg=2024&idl=1,
56,Ciobanu Adrian-Virgil,29 / NEAMȚ,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=56,Comisia pentru mediu şi echilibru ecologic,http://www.cdep.ro/pls/parlam/structura2015.co?idc=46&cam=2&leg=2024&idl=1,
57,Ciobotaru Dragoș-Fãnicã,41 / VRANCEA,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=57,Comisia pentru administraţie publică şi amenajarea teritoriului,http://www.cdep.ro/pls/parlam/structura2015.co?idc=6&cam=2&leg=2024&idl=1,
58,Ciocan Doinița,9 / BRÃILA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=58,"Comisia pentru politică economică, reformă şi privatizare",http://www.cdep.ro/pls/parlam/structura2015.co?idc=1&cam=2&leg=2024&idl=1,
58,Ciocan Doinița,9 / BRÃILA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=58,"Comisia pentru cultură, arte, mijloace de informare în masă",http://www.cdep.ro/pls/parlam/structura2015.co?idc=10&cam=2&leg=2024&idl=1,
59,Ciolacu Ion-Marcel,10 / BUZÃU,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=59,Comisia pentru afaceri europene,http://www.cdep.ro/pls/parlam/structura2015.co?idc=33&cam=2&leg=2024&idl=1,
60,Ciornei Daniel-Cãtãlin,26 / MARAMUREȘ,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=60,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,
60,Ciornei Daniel-Cãtãlin,26 / MARAMUREȘ,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=60,"Comisia pentru cercetarea abuzurilor, corupţiei şi pentru petiţii",http://www.cdep.ro/pls/parlam/structura2015.co?idc=14&cam=2&leg=2024&idl=1,Vicepreşedinte
61,Ciortea Rãzvan-Iulian,13 / CLUJ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=61,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,
61,Ciortea Rãzvan-Iulian,13 / CLUJ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=61,Comisia pentru politică externă,http://www.cdep.ro/pls/parlam/structura2015.co?idc=13&cam=2&leg=2024&idl=1,
61,Ciortea Rãzvan-Iulian,13 / CLUJ,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=61,Comisia pentru comunităţile de români din afara graniţelor ţării,http://www.cdep.ro/pls/parlam/structura2015.co?idc=32&cam=2&leg=2024&idl=1,
62,Ciubuc Ciprian,29 / NEAMȚ,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=62,"Comisia pentru agricultură, silvicultură, industrie alimentară şi servicii specifice",http://www.cdep.ro/pls/parlam/structura2015.co?idc=4&cam=2&leg=2024&idl=1,
